transaction_id,account_id,timestamp,sku_name,pledge_amount_usd,payment_status
TX_9868611,3716,2025-11-19 04:28:46,Gatac Syulen,80,COMPLETED
TX_5296011,4998,2025-11-19 05:26:18,C1 Spirit,125,COMPLETED
TX_4857587,4771,2025-11-16 01:01:31,Drake Cutter,45,COMPLETED
TX_8899547,1176,2025-11-16 05:45:54,Drake Cutter,45,COMPLETED
TX_9695946,4629,2025-11-14 15:41:06,C1 Spirit,125,COMPLETED
TX_4039656,2343,2025-11-18 02:00:45,Drake Cutter,45,COMPLETED
TX_9492401,4121,2025-11-20 11:16:03,Drake Cutter,45,COMPLETED
TX_2598305,4218,2025-11-16 10:25:30,Gatac Syulen,80,COMPLETED
TX_1173437,3812,2025-11-15 21:20:18,Drake Cutter,45,COMPLETED
TX_2995680,3433,2025-11-21 05:23:41,Drake Cutter,45,COMPLETED
TX_8520662,2472,2025-11-21 01:21:13,Drake Cutter,45,COMPLETED
TX_1719989,3838,2025-11-19 00:29:42,Drake Cutter,45,COMPLETED
TX_9798566,3508,2025-11-18 09:39:37,C1 Spirit,125,COMPLETED
TX_1148709,3492,2025-11-17 17:54:36,Anvil Carrack,600,COMPLETED
TX_6319213,2571,2025-11-16 02:24:45,Aegis Idris-P,1500,COMPLETED
TX_5561334,2759,2025-11-19 18:42:03,C1 Spirit,125,COMPLETED
TX_4722325,2101,2025-11-16 13:59:25,Anvil Carrack,600,COMPLETED
TX_2577990,1314,2025-11-16 14:36:43,RSI Polaris,750,COMPLETED
TX_5165542,3147,2025-11-16 15:25:55,Gatac Syulen,80,COMPLETED
TX_9759296,3562,2025-11-18 04:47:56,Drake Cutter,45,COMPLETED
TX_6522825,1635,2025-11-19 11:09:06,Gatac Syulen,80,COMPLETED
TX_7068866,4971,2025-11-20 01:54:57,Drake Cutter,45,COMPLETED
TX_3614005,2968,2025-11-21 05:15:20,Gatac Syulen,80,COMPLETED
TX_3402606,4344,2025-11-16 15:53:18,Drake Cutter,45,COMPLETED
TX_5427576,4374,2025-11-17 20:15:32,Gatac Syulen,80,COMPLETED
TX_2354407,2517,2025-11-18 21:32:36,Drake Cutter,45,COMPLETED
TX_7144912,1174,2025-11-20 23:31:49,Drake Cutter,45,COMPLETED
TX_4223792,4139,2025-11-14 12:09:10,C1 Spirit,125,COMPLETED
TX_6652436,1913,2025-11-16 04:05:49,Drake Cutter,45,COMPLETED
TX_1640738,4548,2025-11-17 19:20:54,Drake Cutter,45,COMPLETED
TX_1453723,1264,2025-11-16 07:36:58,Anvil Carrack,600,COMPLETED
TX_1049379,2103,2025-11-19 13:13:15,C1 Spirit,125,COMPLETED
TX_8553403,1637,2025-11-19 20:13:56,C1 Spirit,125,COMPLETED
TX_3990367,1318,2025-11-20 11:32:38,Gatac Syulen,80,COMPLETED
TX_9556547,2376,2025-11-17 10:33:34,Drake Cutter,45,COMPLETED
TX_7055827,4335,2025-11-14 20:33:40,Anvil Carrack,600,COMPLETED
TX_6437151,3263,2025-11-15 21:34:12,Drake Cutter,45,COMPLETED
TX_5772701,4641,2025-11-19 22:14:05,Gatac Syulen,80,COMPLETED
TX_7234417,1294,2025-11-15 10:45:03,Drake Cutter,45,COMPLETED
TX_9354812,4673,2025-11-18 11:58:36,Gatac Syulen,80,COMPLETED
TX_8904904,1876,2025-11-20 14:35:22,C1 Spirit,125,COMPLETED
TX_1019315,3153,2025-11-19 16:10:31,Anvil Carrack,600,COMPLETED
TX_5513229,2884,2025-11-14 22:26:44,Drake Cutter,45,COMPLETED
TX_3377164,2783,2025-11-19 23:40:38,C1 Spirit,125,COMPLETED
TX_6776277,3268,2025-11-21 05:57:10,C1 Spirit,125,COMPLETED
