log_id,timestamp,shard_id,config_version,player_count,server_fps,interaction_delay_ms,is_server_crash
LOG_977387,2025-11-14 12:00:00,shard_us_east_1,Static_Mesh_V1,187,14.14,406.38,0
LOG_369025,2025-11-14 12:00:00,shard_eu_central_1,Static_Mesh_V1,264,7.53,2016.29,0
LOG_991855,2025-11-14 12:00:00,shard_asia_east_1,Static_Mesh_V1,268,9.2,2012.53,0
LOG_150850,2025-11-14 12:05:00,shard_us_east_1,Dynamic_Mesh_V2_Test,190,13.24,356.71,0
LOG_995712,2025-11-14 12:05:00,shard_eu_central_1,Static_Mesh_V1,168,12.17,249.75,0
LOG_425768,2025-11-14 12:05:00,shard_asia_east_1,Dynamic_Mesh_V2_Test,107,19.06,229.71,0
LOG_688124,2025-11-14 12:10:00,shard_us_east_1,Dynamic_Mesh_V2_Test,81,20.43,235.28,0
LOG_546990,2025-11-14 12:10:00,shard_eu_central_1,Static_Mesh_V1,133,19.05,194.76,0
LOG_672699,2025-11-14 12:10:00,shard_asia_east_1,Dynamic_Mesh_V2_Test,109,21.14,160.45,0
LOG_321787,2025-11-14 12:15:00,shard_us_east_1,Dynamic_Mesh_V2_Test,178,13.97,341.42,0
LOG_938458,2025-11-14 12:15:00,shard_eu_central_1,Dynamic_Mesh_V2_Test,104,25.04,207.33,0
LOG_194525,2025-11-14 12:15:00,shard_asia_east_1,Static_Mesh_V1,70,25.81,78.96,0
LOG_320101,2025-11-14 12:20:00,shard_us_east_1,Dynamic_Mesh_V2_Test,165,12.33,263.59,0
LOG_166058,2025-11-14 12:20:00,shard_eu_central_1,Static_Mesh_V1,164,17.81,336.57,0
LOG_224143,2025-11-14 12:20:00,shard_asia_east_1,Dynamic_Mesh_V2_Test,141,17.65,208.07,0
LOG_379081,2025-11-14 12:25:00,shard_us_east_1,Static_Mesh_V1,96,21.08,244.86,0
LOG_775294,2025-11-14 12:25:00,shard_eu_central_1,Static_Mesh_V1,175,11.89,366.2,0
LOG_459613,2025-11-14 12:25:00,shard_asia_east_1,Static_Mesh_V1,121,18.56,272.58,0
LOG_855884,2025-11-14 12:30:00,shard_us_east_1,Dynamic_Mesh_V2_Test,227,12.95,412.04,0
LOG_552547,2025-11-14 12:30:00,shard_eu_central_1,Static_Mesh_V1,126,20.16,300.78,0
LOG_529799,2025-11-14 12:30:00,shard_asia_east_1,Static_Mesh_V1,114,20.13,172.68,0
LOG_401560,2025-11-14 12:35:00,shard_us_east_1,Dynamic_Mesh_V2_Test,60,26.63,187.81,0
LOG_319999,2025-11-14 12:35:00,shard_eu_central_1,Dynamic_Mesh_V2_Test,144,20.01,306.08,0
LOG_903614,2025-11-14 12:35:00,shard_asia_east_1,Dynamic_Mesh_V2_Test,101,22.31,278.9,0
LOG_923411,2025-11-14 12:40:00,shard_us_east_1,Static_Mesh_V1,147,20.88,163.01,0
LOG_364296,2025-11-14 12:40:00,shard_eu_central_1,Static_Mesh_V1,211,12.59,407.05,0
LOG_585175,2025-11-14 12:40:00,shard_asia_east_1,Dynamic_Mesh_V2_Test,156,13.02,301.02,0
LOG_628193,2025-11-14 12:45:00,shard_us_east_1,Static_Mesh_V1,176,18.29,326.09,0
LOG_306662,2025-11-14 12:45:00,shard_eu_central_1,Dynamic_Mesh_V2_Test,89,21.58,223.77,0
LOG_261543,2025-11-14 12:45:00,shard_asia_east_1,Dynamic_Mesh_V2_Test,174,14.44,373.66,0
LOG_474765,2025-11-14 12:50:00,shard_us_east_1,Dynamic_Mesh_V2_Test,157,18.85,278.9,0
LOG_471724,2025-11-14 12:50:00,shard_eu_central_1,Dynamic_Mesh_V2_Test,125,18.8,176.82,0
LOG_688038,2025-11-14 12:50:00,shard_asia_east_1,Static_Mesh_V1,172,16.19,344.26,0
LOG_177236,2025-11-14 12:55:00,shard_us_east_1,Dynamic_Mesh_V2_Test,132,16.17,242.97,0
LOG_853640,2025-11-14 12:55:00,shard_eu_central_1,Dynamic_Mesh_V2_Test,124,18.06,239.94,0
LOG_950747,2025-11-14 12:55:00,shard_asia_east_1,Dynamic_Mesh_V2_Test,180,18.77,368.73,0
LOG_381776,2025-11-14 13:00:00,shard_us_east_1,Static_Mesh_V1,169,15.77,242.06,0
LOG_590297,2025-11-14 13:00:00,shard_eu_central_1,Dynamic_Mesh_V2_Test,148,17.79,419.16,0
LOG_825536,2025-11-14 13:00:00,shard_asia_east_1,Static_Mesh_V1,135,19.35,268.26,0
LOG_767854,2025-11-14 13:05:00,shard_us_east_1,Dynamic_Mesh_V2_Test,62,27.12,161.6,0
LOG_977079,2025-11-14 13:05:00,shard_eu_central_1,Dynamic_Mesh_V2_Test,209,10.76,488.14,0
LOG_643198,2025-11-14 13:05:00,shard_asia_east_1,Static_Mesh_V1,44,27.51,197.52,0
LOG_681849,2025-11-14 13:10:00,shard_us_east_1,Static_Mesh_V1,75,22.62,154.98,0
LOG_954898,2025-11-14 13:10:00,shard_eu_central_1,Dynamic_Mesh_V2_Test,112,17.57,227.43,0
LOG_292385,2025-11-14 13:10:00,shard_asia_east_1,Dynamic_Mesh_V2_Test,70,25.11,94.03,0
LOG_326383,2025-11-14 13:15:00,shard_us_east_1,Dynamic_Mesh_V2_Test,266,6.27,2015.9,0
LOG_362801,2025-11-14 13:15:00,shard_eu_central_1,Static_Mesh_V1,211,9.95,1933.37,0
LOG_373031,2025-11-14 13:15:00,shard_asia_east_1,Static_Mesh_V1,248,6.12,2005.23,0
LOG_542010,2025-11-14 13:20:00,shard_us_east_1,Static_Mesh_V1,169,17.48,276.15,0
LOG_261472,2025-11-14 13:20:00,shard_eu_central_1,Static_Mesh_V1,50,26.88,114.85,0
LOG_517133,2025-11-14 13:20:00,shard_asia_east_1,Dynamic_Mesh_V2_Test,168,16.69,302.0,0
